Lokasi Rak,Kode Material,Nama Barang,Qty,UoM,Deskripsi,Link Drive Foto,Link Drive Foto,Link Drive Foto Gabungan
RE02.1,-,JST J24 DFS-40V-KE,34,Pcs,,https://drive.google.com/file/d/1PmrBfzS0X8FoFvCdWehae4VGP4daYVFL/view?usp=drivesdk,,
RE02.1,-,R38FDS-40V-KE,22,Pcs,,https://drive.google.com/file/d/1KvigrtRRpEtDgcfZNuIp56uWQbJEUtLh/view?usp=drivesdk,,
RE02.1,-,San disk 64 gb,3,pcs,,https://drive.google.com/file/d/1v3sEirKnVZVp6Ulw059eDvi-IF7A7Xxu/view?usp=drivesdk,,
RE02.1,-,Thermal overload relay,2,Pcs,,https://drive.google.com/file/d/1I3drl-xOi1srpQzCGgm7It7ld742a2IY/view?usp=drivesdk,,
RE02.1,-,Wago 769-413,25,Pcs,,https://drive.google.com/file/d/1ST--qFLFSriij0pOMKQ-j4uaewCYuTi6/view?usp=drivesdk,,
RE02.1,-,Heatshrink tube,45,Pcs,,https://drive.google.com/file/d/1mSM0SjLuX6Np6O4alql7wuR-ZQpZy__5/view?usp=drivesdk,,
RE02.1,-,Konektor D-Sub 37-pin,3,Pcs,,https://drive.google.com/file/d/1KusJVHIeP7GSnsEOQ8migsh21mCfCUuV/view?usp=drivesdk,,
RE02.1,-,"MCB,ABB,S201 MT C6",1,Pcs,,https://drive.google.com/file/d/1ZNdVTITAMT92tQy6SKxJwP643CdkDG39/view?usp=drivesdk,,
RE02.1,-,"Han q Quintax Buchse, 3-9.5 mm",1,Pcs,,https://drive.google.com/file/d/1mBNAfktwIVQ5Lxcf_SHMZwRwUOiS10g_/view?usp=drivesdk,,
RE02.1,-,"MCB,ABB,S20IMT C6 VC",1,Pcs,,https://drive.google.com/file/d/1TXG00y1E7HYDj3GXiW5ADCyNY2w5_oI7/view?usp=drivesdk,,
RE02.1,-,Hinged frame 10B for 3 Modules  (A.C),2,Pcs,,https://drive.google.com/file/d/1SCMayzVFCPzyQvcs_0KGrBOM9AFDdUrw/view?usp=drivesdk,,
RE02.1,-,Contoctor ABB AX18-30-10,3,Pcs,,https://drive.google.com/file/d/1E6RVW_C4pGEGn45vjXgXgz4o29gOow0l/view?usp=drivesdk,,
RE02.1,-,Relay ABB CR-M230,1,Pcs,,https://drive.google.com/file/d/1Dt9Qnv1KjURsR1Q55RweKS3HJYH7Iged/view?usp=drivesdk,,
RE02.1,-,LED MR16,8,Pcs,,https://drive.google.com/file/d/1xIARbb2VXoiAF_HSU6XDKkMBQvfFCzDQ/view?usp=drivesdk,,
RE02.1,-,Contoctor AF09Z,4,Pcs,,https://drive.google.com/file/d/1sKy9rNZDrMOMHJKNNAI6AyvBGA1WTMyG/view?usp=drivesdk,,
RE02.1,-,ABB S20 IMT C6,1,Pcs,,https://drive.google.com/file/d/1U80YkPbY2l_tu40QBj4kCQPP-ILVUZKr/view?usp=drivesdk,,
RE02.1,-,CR- M23 QAC 4AL,4,Pcs,,https://drive.google.com/file/d/1cKdN94HF0ZR7rDVL5r7RrhTu6i6R9F68/view?usp=drivesdk,,
RE02.1,-,Switched-mode power supply,1,Pcs,,https://drive.google.com/file/d/1D-DWsORfzMba4HA5CwDrK27N0xu5gNb1/view?usp=drivesdk,,
RE02.1,-,Relay mors smith D- 4204-Lg 110VDC,2,Pcs,,https://drive.google.com/file/d/1Ia4K0qQyA1hBiWH2VrAfZ8-V86w6TWp_/view?usp=drivesdk,,
RE02.1,-,ABB CA4-40E,2,Pcs,,https://drive.google.com/file/d/1__ivtg94rGU4WV1QTLKuGuNJmC91H_3R/view?usp=drivesdk,,
RE02.1,-,Relay mors smitt,17,Pcs,,https://drive.google.com/file/d/1leMlpZNBi80Jtx8fZoRbmuTxsmMQCmuV/view?usp=drivesdk,,
RE02.1,-,Power Supply wago 787-1014q,2,Pcs,,https://drive.google.com/file/d/1rSwGj9YriOQu9USh-SY4He6fgxhK6hTy/view?usp=drivesdk,,
RE02.1,,"Relay mors smitt, kcd-u201 24VDC ",1,Pcs,,https://drive.google.com/file/d/1scI2vXJKU275ue4PfK9JKGOEsL2_GBHP/view?usp=drivesdk,,
RE02.1,-,Filter oli comman Rail injector weiyuan,1,Pcs,,https://drive.google.com/file/d/1ndWrjb2Gojnr4lWEk3TPFPMkhvATrxXH/view?usp=drivesdk,,
RE02.1,-,"Relay mors smitt, CV-V209-BLr 110VDC",19,Pcs,,https://drive.google.com/file/d/1f_dDlVRObJBse94Fyar3E5ZxKYRyEHM-/view?usp=drivesdk,,
RE02.1,-,Mors smitt v29 relay socket ,5,Pcs,,https://drive.google.com/file/d/12jjj8gXHBu_llrKZJtfphD54Y-AciTJz/view?usp=drivesdk,,
RE02.1,-,Intermedrate Plate PT 150 L,1,Pcs,,https://drive.google.com/file/d/17yUKJ9MqGBvu7SND1RslC2d-83HLlpci/view?usp=drivesdk,,
RE02.1,-,Intermedrate Plate puw 40 lcb,1,Pcs,,https://drive.google.com/file/d/1U8p24plYlHEqt6B2_tY2TkLPhqX9f_xg/view?usp=drivesdk,,
RE02.1,-,Intermedrate plate toyogiken PT U-80L,1,Pcs,,https://drive.google.com/file/d/1WVvjnv-xnh9z6uS5vGITB9BZeFEhTXta/view?usp=drivesdk,,
RE02.1,-,Socket Relay mors smitt v17,4,Pcs,,https://drive.google.com/file/d/13lztqsdPB0SiRSooa2k8rlRQkLLAuoWM/view?usp=drivesdk,,
RE02.1,-,"Relay mors smitt, kcd-u201 24VDC ",1,Pcs,,https://drive.google.com/file/d/1scI2vXJKU275ue4PfK9JKGOEsL2_GBHP/view?usp=drivesdk,,
RE02.1,,"Relay morssmitt, KCD-4201 24VDC",3,Pcs,,https://drive.google.com/file/d/1dj16jP0D4snJ3l9vMl4FICV3zip_zuXe/view?usp=drivesdk,,
RE02.1,,"Relau morssmitt, TDB4-V204 1-103 110V",1,Pcs,,https://drive.google.com/file/d/179QUJsqi6dA33sWshJXHX3Lkn43OFrdJ/view?usp=drivesdk,,
RE02.1,,Tb Fuji TXW 5.5,1,Pcs,,https://drive.google.com/file/d/1zWr_vY6J7mu_7Vp7X9XlQAQGEuOaLE4F/view?usp=drivesdk,,
RE02.1,,Skun JST 1.25 ,1,Pcs,,https://drive.google.com/file/d/18AJS3GK0UUw7KUto9FxRmfzzW2UCDAy5/view?usp=drivesdk,,
